Body,Head,Head_Coverage,Standard_Confidence,PCA_Confidence,Support,Body Size,Pca Body Size,Functional_variable
?a  drug  Carboplatin  ?a  drug  Cisplatin   ,?a  biomarker  EGFR_Positive,0.037736,0.357895,0.507463,34,95,67,?a
?a  biomarker  ALK_Positive  ?a  hasRelapse  Yes   ,?a  sex  male,0.07,0.507246,0.507246,70,138,138,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ALK_Positive,0.039956,0.336449,0.507042,36,107,71,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.038,0.506667,0.506667,38,75,75,?a
?a  drug  Afatinib  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.039,0.506494,0.506494,39,77,77,?a
?a  ageCategory  young  ?a  biomarker  ALK_Positive   ,?a  sex  male,0.079,0.50641,0.50641,79,156,156,?a
?a  drug  Afatinib  ?a  drug  Cisplatin   ,?a  sex  male,0.04,0.506329,0.506329,40,79,79,?a
?a  comorbidity  Depression  ?a  comorbidity  Others   ,?a  hasRelapse  No,0.083,0.506098,0.506098,83,164,164,?a
?a  drug  Afatinib   ,?a  hasRelapse  No,0.168,0.506024,0.506024,168,332,332,?a
?a  drug  Afatinib  ?a  drug  Vinorelbine   ,?a  comorbidity  Depression,0.024419,0.506024,0.506024,42,83,83,?a
?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.127,0.505976,0.505976,127,251,251,?a
?a  drug  Afatinib  ?a  hasRelapse  No   ,?a  comorbidity  Depression,0.049419,0.505952,0.505952,85,168,168,?a
?a  drug  Carboplatin  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.025581,0.505747,0.505747,44,87,87,?a
?a  comorbidity  Cardiopathy  ?a  drug  Afatinib   ,?a  smokingHabit  PreviousSmoker,0.059133,0.357143,0.505618,45,126,89,?a
?a  hasRelapse  No  ?a  sex  female   ,?a  biomarker  ROS1_Positive,0.099889,0.350195,0.505618,90,257,178,?a
?a  drug  Vinorelbine  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  old,0.045,0.505618,0.505618,45,89,89,?a
?a  comorbidity  Cardiopathy  ?a  drug  Cisplatin   ,?a  biomarker  EGFR_Positive,0.051054,0.343284,0.505495,46,134,91,?a
?a  comorbidity  Depression   ,?a  ageCategory  old,0.232,0.505447,0.505447,232,459,459,?a
?a  comorbidity  Cardiopathy  ?a  drug  Nivolumab   ,?a  biomarker  EGFR_Positive,0.052164,0.338129,0.505376,47,139,93,?a
?a  drug  Cisplatin  ?a  drug  Nivolumab   ,?a  sex  male,0.047,0.505376,0.505376,47,93,93,?a
?a  drug  Carboplatin  ?a  drug  Cisplatin   ,?a  sex  male,0.048,0.505263,0.505263,48,95,95,?a
?a  comorbidity  Cardiopathy  ?a  drug  Vinorelbine   ,?a  biomarker  ROS1_Positive,0.055494,0.333333,0.505051,50,150,99,?a
?a  comorbidity  Cardiopathy  ?a  drug  Vinorelbine   ,?a  biomarker  EGFR_Positive,0.055494,0.333333,0.505051,50,150,99,?a
?a  drug  Cisplatin  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Others,0.02907,0.505051,0.505051,50,99,99,?a
?a  biomarker  EGFR_Positive   ,?a  ageCategory  old,0.153,0.50495,0.50495,153,303,303,?a
?a  comorbidity  Others  ?a  drug  Afatinib   ,?a  biomarker  EGFR_Positive,0.059933,0.364865,0.504673,54,148,107,?a
?a  biomarker  EGFR_Positive  ?a  drug  Cisplatin   ,?a  comorbidity  Others,0.031395,0.504673,0.504673,54,107,107,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  old,0.057,0.504425,0.504425,57,113,113,?a
?a  drug  Cisplatin  ?a  sex  female   ,?a  biomarker  ROS1_Positive,0.064373,0.333333,0.504348,58,174,115,?a
?a  hasRelapse  Yes  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  old,0.06,0.504202,0.504202,60,119,119,?a
?a  ageCategory  young  ?a  sex  male   ,?a  comorbidity  Depression,0.072093,0.504065,0.504065,124,246,246,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  ageCategory  young,0.203,0.503722,0.503722,203,403,403,?a
?a  biomarker  ROS1_Positive  ?a  sex  male   ,?a  comorbidity  Depression,0.040116,0.50365,0.50365,69,137,137,?a
?a  comorbidity  Cardiopathy  ?a  sex  female   ,?a  biomarker  ROS1_Positive,0.084351,0.347032,0.503311,76,219,151,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Cisplatin   ,?a  sex  male,0.077,0.503268,0.503268,77,153,153,?a
?a  biomarker  ROS1_Positive   ,?a  ageCategory  young,0.158,0.503185,0.503185,158,314,314,?a
?a  comorbidity  Cardiopathy  ?a  hasRelapse  No   ,?a  biomarker  ROS1_Positive,0.08768,0.346491,0.503185,79,228,157,?a
?a  comorbidity  Others  ?a  sex  female   ,?a  biomarker  ROS1_Positive,0.08768,0.33617,0.503185,79,235,157,?a
?a  drug  Afatinib  ?a  sex  male   ,?a  hasRelapse  Yes,0.079,0.503185,0.503185,79,157,157,?a
?a  ageCategory  old  ?a  hasRelapse  Yes   ,?a  biomarker  EGFR_Positive,0.08768,0.325103,0.503185,79,243,157,?a
?a  comorbidity  Others  ?a  drug  Cisplatin   ,?a  sex  male,0.079,0.503185,0.503185,79,157,157,?a
?a  drug  Vinorelbine  ?a  sex  male   ,?a  ageCategory  old,0.08,0.503145,0.503145,80,159,159,?a
?a  comorbidity  Depression  ?a  drug  Vinorelbine   ,?a  hasRelapse  Yes,0.081,0.503106,0.503106,81,161,161,?a
?a  drug  Cisplatin   ,?a  sex  female,0.174,0.50289,0.50289,174,346,346,?a
?a  hasRelapse  No  ?a  sex  male   ,?a  ageCategory  old,0.124,0.502024,0.502024,124,247,247,?a
?a  comorbidity  Depression   ,?a  hasRelapse  Yes,0.23,0.501089,0.501089,230,459,459,?a
?a  ageCategory  old   ,?a  hasRelapse  No,0.243,0.5,0.5,243,486,486,?a
?a  ageCategory  old   ,?a  hasRelapse  Yes,0.243,0.5,0.5,243,486,486,?a
?a  ageCategory  young  ?a  drug  Cisplatin   ,?a  biomarker  ALK_Positive,0.065483,0.310526,0.5,59,190,118,?a
?a  comorbidity  Others  ?a  drug  Cisplatin   ,?a  biomarker  ROS1_Positive,0.057714,0.33121,0.5,52,157,104,?a
?a  drug  Vinorelbine  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ROS1_Positive,0.029967,0.325301,0.5,27,83,54,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ROS1_Positive,0.034406,0.316327,0.5,31,98,62,?a
?a  sex  male  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ROS1_Positive,0.042175,0.319328,0.5,38,119,76,?a
?a  drug  Nivolumab  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.045,0.5,0.5,45,90,90,?a
?a  drug  Afatinib  ?a  drug  Carboplatin   ,?a  hasRelapse  Yes,0.044,0.5,0.5,44,88,88,?a
?a  ageCategory  young  ?a  sex  male   ,?a  hasRelapse  Yes,0.123,0.5,0.5,123,246,246,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Cardiopathy,0.02093,0.5,0.5,36,72,72,?a
?a  ageCategory  old  ?a  drug  Vinorelbine   ,?a  comorbidity  Depression,0.05,0.5,0.5,86,172,172,?a
?a  ageCategory  young  ?a  drug  Afatinib   ,?a  comorbidity  Depression,0.04593,0.5,0.5,79,158,158,?a
?a  comorbidity  Depression  ?a  drug  Vinorelbine   ,?a  biomarker  EGFR_Positive,0.059933,0.335404,0.5,54,161,108,?a
?a  comorbidity  Depression  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  EGFR_Positive,0.044395,0.344828,0.5,40,116,80,?a
?a  drug  Cisplatin  ?a  sex  male   ,?a  biomarker  EGFR_Positive,0.061043,0.319767,0.5,55,172,110,?a
?a  biomarker  ROS1_Positive  ?a  hasRelapse  No   ,?a  ageCategory  old,0.081,0.5,0.5,81,162,162,?a
?a  comorbidity  Diabetes_Mellitus  ?a  comorbidity  Others   ,?a  ageCategory  old,0.068,0.5,0.5,68,136,136,?a
?a  ageCategory  young  ?a  drug  Carboplatin   ,?a  comorbidity  Others,0.047674,0.5,0.5,82,164,164,?a
?a  biomarker  EGFR_Positive  ?a  sex  male   ,?a  comorbidity  Others,0.039535,0.5,0.5,68,136,136,?a
?a  biomarker  ALK_Positive  ?a  biomarker  EGFR_Positive   ,?a  comorbidity  Others,0.021512,0.5,0.5,37,74,74,?a
?a  comorbidity  Diabetes_Mellitus  ?a  comorbidity  Others   ,?a  sex  male,0.068,0.5,0.5,68,136,136,?a
?a  ageCategory  old  ?a  drug  Cisplatin   ,?a  sex  male,0.078,0.5,0.5,78,156,156,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.038,0.5,0.5,38,76,76,?a
?a  comorbidity  Depression   ,?a  hasRelapse  No,0.229,0.498911,0.498911,229,459,459,?a
?a  sex  female   ,?a  biomarker  ROS1_Positive,0.196448,0.336502,0.498592,177,526,355,?a
?a  ageCategory  old  ?a  drug  Carboplatin   ,?a  sex  male,0.095,0.497382,0.497382,95,191,191,?a
?a  drug  Cisplatin  ?a  hasRelapse  Yes   ,?a  sex  male,0.088,0.497175,0.497175,88,177,177,?a
?a  drug  Cisplatin   ,?a  sex  male,0.172,0.49711,0.49711,172,346,346,?a
?a  drug  Afatinib   ,?a  comorbidity  Depression,0.09593,0.496988,0.496988,165,332,332,?a
?a  biomarker  ROS1_Positive   ,?a  ageCategory  old,0.156,0.496815,0.496815,156,314,314,?a
?a  drug  Nivolumab  ?a  sex  male   ,?a  comorbidity  Depression,0.045349,0.496815,0.496815,78,157,157,?a
?a  comorbidity  Others   ,?a  biomarker  EGFR_Positive,0.165372,0.335586,0.496667,149,444,300,?a
?a  comorbidity  Others  ?a  hasRelapse  No   ,?a  biomarker  ROS1_Positive,0.082131,0.33945,0.496644,74,218,149,?a
?a  sex  male  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Depression,0.038953,0.496296,0.496296,67,135,135,?a
?a  sex  male  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.067,0.496296,0.496296,67,135,135,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  ageCategory  old,0.2,0.496278,0.496278,200,403,403,?a
?a  ageCategory  old  ?a  drug  Carboplatin   ,?a  biomarker  ROS1_Positive,0.069922,0.329843,0.496063,63,191,127,?a
?a  ageCategory  old  ?a  comorbidity  Diabetes_Mellitus   ,?a  biomarker  ROS1_Positive,0.069922,0.315,0.496063,63,200,127,?a
?a  ageCategory  old  ?a  comorbidity  Cardiopathy   ,?a  biomarker  EGFR_Positive,0.069922,0.344262,0.496063,63,183,127,?a
?a  ageCategory  young  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Cardiopathy,0.034884,0.495868,0.495868,60,121,121,?a
?a  sex  male  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Depression,0.032558,0.495575,0.495575,56,113,113,?a
?a  biomarker  EGFR_Positive  ?a  drug  Cisplatin   ,?a  hasRelapse  No,0.053,0.495327,0.495327,53,107,107,?a
?a  biomarker  ROS1_Positive  ?a  drug  Cisplatin   ,?a  comorbidity  Others,0.030233,0.495238,0.495238,52,105,105,?a
?a  biomarker  EGFR_Positive   ,?a  ageCategory  young,0.15,0.49505,0.49505,150,303,303,?a
?a  drug  Nivolumab  ?a  sex  male   ,?a  biomarker  EGFR_Positive,0.055494,0.318471,0.49505,50,157,101,?a
?a  comorbidity  Diabetes_Mellitus  ?a  hasRelapse  No   ,?a  sex  male,0.097,0.494898,0.494898,97,196,196,?a
?a  drug  Carboplatin  ?a  drug  Vinorelbine   ,?a  comorbidity  Cardiopathy,0.027326,0.494737,0.494737,47,95,95,?a
?a  drug  Carboplatin  ?a  drug  Cisplatin   ,?a  comorbidity  Others,0.027326,0.494737,0.494737,47,95,95,?a
?a  comorbidity  Depression   ,?a  ageCategory  young,0.227,0.494553,0.494553,227,459,459,?a
?a  hasRelapse  No  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ROS1_Positive,0.048835,0.323529,0.494382,44,136,89,?a
?a  comorbidity  Diabetes_Mellitus  ?a  comorbidity  Others   ,?a  biomarker  ROS1_Positive,0.048835,0.323529,0.494382,44,136,89,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.044,0.494382,0.494382,44,89,89,?a
?a  drug  Cisplatin  ?a  drug  Vinorelbine   ,?a  comorbidity  Others,0.025581,0.494382,0.494382,44,89,89,?a
?a  drug  Nivolumab  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Depression,0.025,0.494253,0.494253,43,87,87,?a
?a  hasRelapse  Yes  ?a  smokingHabit  NonSmoker   ,?a  biomarker  EGFR_Positive,0.047725,0.34127,0.494253,43,126,87,?a
?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  old,0.124,0.494024,0.494024,124,251,251,?a
?a  drug  Afatinib   ,?a  hasRelapse  Yes,0.164,0.493976,0.493976,164,332,332,?a
?a  drug  Vinorelbine  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Depression,0.023837,0.493976,0.493976,41,83,83,?a
?a  hasRelapse  Yes  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  EGFR_Positive,0.044395,0.336134,0.493827,40,119,81,?a
?a  sex  male   ,?a  comorbidity  Depression,0.136047,0.493671,0.493671,234,474,474,?a
?a  drug  Afatinib  ?a  drug  Cisplatin   ,?a  comorbidity  Others,0.022674,0.493671,0.493671,39,79,79,?a
?a  comorbidity  Others  ?a  sex  female   ,?a  ageCategory  old,0.116,0.493617,0.493617,116,235,235,?a
?a  ageCategory  old  ?a  biomarker  ROS1_Positive   ,?a  comorbidity  Others,0.044767,0.49359,0.49359,77,156,156,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.038,0.493506,0.493506,38,77,77,?a
?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.127,0.492248,0.492248,127,258,258,?a
?a  ageCategory  young   ,?a  hasRelapse  Yes,0.253,0.492218,0.492218,253,514,514,?a
?a  drug  Vinorelbine  ?a  hasRelapse  No   ,?a  biomarker  ROS1_Positive,0.067703,0.324468,0.491935,61,188,124,?a
?a  drug  Afatinib  ?a  drug  Vinorelbine   ,?a  biomarker  ROS1_Positive,0.033296,0.361446,0.491803,30,83,61,?a
?a  drug  Nivolumab  ?a  hasRelapse  No   ,?a  comorbidity  Depression,0.052326,0.491803,0.491803,90,183,183,?a
?a  drug  Afatinib  ?a  drug  Vinorelbine   ,?a  biomarker  EGFR_Positive,0.033296,0.361446,0.491803,30,83,61,?a
?a  drug  Nivolumab  ?a  hasRelapse  No   ,?a  ageCategory  old,0.09,0.491803,0.491803,90,183,183,?a
?a  biomarker  EGFR_Positive   ,?a  comorbidity  Others,0.086628,0.491749,0.491749,149,303,303,?a
?a  drug  Carboplatin   ,?a  biomarker  ROS1_Positive,0.128746,0.326761,0.491525,116,355,236,?a
?a  drug  Cisplatin  ?a  drug  Nivolumab   ,?a  biomarker  ROS1_Positive,0.032186,0.311828,0.491525,29,93,59,?a
?a  drug  Carboplatin  ?a  sex  male   ,?a  comorbidity  Others,0.049419,0.491329,0.491329,85,173,173,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  sex  male,0.198,0.491315,0.491315,198,403,403,?a
?a  drug  Cisplatin  ?a  hasRelapse  Yes   ,?a  biomarker  ROS1_Positive,0.062153,0.316384,0.491228,56,177,114,?a
?a  comorbidity  Others   ,?a  hasRelapse  No,0.218,0.490991,0.490991,218,444,444,?a
?a  ageCategory  old  ?a  drug  Nivolumab   ,?a  biomarker  ROS1_Positive,0.059933,0.319527,0.490909,54,169,110,?a
?a  comorbidity  Others  ?a  hasRelapse  No   ,?a  ageCategory  old,0.107,0.490826,0.490826,107,218,218,?a
?a  biomarker  EGFR_Positive  ?a  drug  Nivolumab   ,?a  comorbidity  Depression,0.030233,0.490566,0.490566,52,106,106,?a
?a  drug  Carboplatin  ?a  smokingHabit  NonSmoker   ,?a  biomarker  EGFR_Positive,0.028857,0.333333,0.490566,26,78,53,?a
?a  sex  female   ,?a  ageCategory  old,0.258,0.490494,0.490494,258,526,526,?a
?a  drug  Nivolumab  ?a  sex  male   ,?a  ageCategory  old,0.077,0.490446,0.490446,77,157,157,?a
?a  comorbidity  Depression   ,?a  sex  female,0.225,0.490196,0.490196,225,459,459,?a
?a  drug  Nivolumab  ?a  hasRelapse  Yes   ,?a  biomarker  EGFR_Positive,0.055494,0.308642,0.490196,50,162,102,?a
?a  hasRelapse  No   ,?a  sex  male,0.247,0.490079,0.490079,247,504,504,?a
?a  hasRelapse  Yes   ,?a  ageCategory  old,0.243,0.489919,0.489919,243,496,496,?a
?a  drug  Nivolumab   ,?a  comorbidity  Depression,0.098256,0.489855,0.489855,169,345,345,?a
?a  drug  Nivolumab   ,?a  ageCategory  old,0.169,0.489855,0.489855,169,345,345,?a
?a  sex  male  ?a  smokingHabit  NonSmoker   ,?a  biomarker  EGFR_Positive,0.051054,0.340741,0.489362,46,135,94,?a
?a  comorbidity  Cardiopathy  ?a  hasRelapse  Yes   ,?a  sex  male,0.091,0.489247,0.489247,91,186,186,?a
?a  hasRelapse  Yes   ,?a  biomarker  EGFR_Positive,0.176471,0.320565,0.489231,159,496,325,?a
?a  ageCategory  young  ?a  smokingHabit  NonSmoker   ,?a  biomarker  EGFR_Positive,0.049945,0.343511,0.48913,45,131,92,?a
?a  smokingHabit  NonSmoker   ,?a  biomarker  EGFR_Positive,0.09545,0.333333,0.488636,86,258,176,?a
?a  biomarker  ALK_Positive  ?a  drug  Carboplatin   ,?a  comorbidity  Others,0.025,0.488636,0.488636,43,88,88,?a
?a  biomarker  ALK_Positive  ?a  drug  Carboplatin   ,?a  sex  male,0.043,0.488636,0.488636,43,88,88,?a
?a  sex  female   ,?a  hasRelapse  No,0.257,0.488593,0.488593,257,526,526,?a
?a  drug  Cisplatin   ,?a  hasRelapse  No,0.169,0.488439,0.488439,169,346,346,?a
?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.126,0.488372,0.488372,126,258,258,?a
?a  drug  Nivolumab  ?a  hasRelapse  No   ,?a  biomarker  ROS1_Positive,0.069922,0.344262,0.488372,63,183,129,?a
?a  drug  Nivolumab  ?a  drug  Vinorelbine   ,?a  hasRelapse  Yes,0.042,0.488372,0.488372,42,86,86,?a
?a  comorbidity  Diabetes_Mellitus  ?a  sex  female   ,?a  biomarker  EGFR_Positive,0.069922,0.307317,0.488372,63,205,129,?a
?a  ageCategory  young  ?a  comorbidity  Diabetes_Mellitus   ,?a  biomarker  ALK_Positive,0.068812,0.305419,0.488189,62,203,127,?a
?a  ageCategory  old  ?a  drug  Carboplatin   ,?a  biomarker  EGFR_Positive,0.068812,0.324607,0.488189,62,191,127,?a
?a  ageCategory  old  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  EGFR_Positive,0.045505,0.330645,0.488095,41,124,84,?a
?a  drug  Vinorelbine  ?a  hasRelapse  Yes   ,?a  comorbidity  Depression,0.047093,0.487952,0.487952,81,166,166,?a
?a  biomarker  ROS1_Positive  ?a  hasRelapse  No   ,?a  comorbidity  Cardiopathy,0.04593,0.487654,0.487654,79,162,162,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Nivolumab   ,?a  biomarker  ROS1_Positive,0.043285,0.29771,0.4875,39,131,80,?a
?a  hasRelapse  Yes  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.033721,0.487395,0.487395,58,119,119,?a
?a  drug  Carboplatin   ,?a  sex  male,0.173,0.487324,0.487324,173,355,355,?a
?a  ageCategory  old  ?a  drug  Cisplatin   ,?a  comorbidity  Depression,0.044186,0.487179,0.487179,76,156,156,?a
?a  ageCategory  young  ?a  hasRelapse  No   ,?a  comorbidity  Cardiopathy,0.073837,0.48659,0.48659,127,261,261,?a
?a  drug  Cisplatin  ?a  hasRelapse  No   ,?a  biomarker  ALK_Positive,0.059933,0.319527,0.486486,54,169,111,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  hasRelapse  No,0.196,0.486352,0.486352,196,403,403,?a
?a  ageCategory  young  ?a  hasRelapse  Yes   ,?a  sex  male,0.123,0.486166,0.486166,123,253,253,?a
?a  biomarker  EGFR_Positive  ?a  hasRelapse  No   ,?a  comorbidity  Cardiopathy,0.040698,0.486111,0.486111,70,144,144,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Depression,0.020349,0.486111,0.486111,35,72,72,?a
?a  biomarker  ALK_Positive   ,?a  hasRelapse  Yes,0.138,0.485915,0.485915,138,284,284,?a
?a  drug  Vinorelbine   ,?a  ageCategory  old,0.172,0.485876,0.485876,172,354,354,?a
?a  ageCategory  old  ?a  hasRelapse  No   ,?a  comorbidity  Depression,0.068605,0.485597,0.485597,118,243,243,?a
?a  drug  Vinorelbine   ,?a  biomarker  ROS1_Positive,0.124306,0.316384,0.484848,112,354,231,?a
?a  drug  Cisplatin  ?a  smokingHabit  NonSmoker   ,?a  biomarker  ROS1_Positive,0.035516,0.323232,0.484848,32,99,66,?a
?a  drug  Afatinib  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ROS1_Positive,0.035516,0.344086,0.484848,32,93,66,?a
?a  hasRelapse  No  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Cardiopathy,0.037209,0.484848,0.484848,64,132,132,?a
?a  ageCategory  young  ?a  sex  male   ,?a  biomarker  ALK_Positive,0.08768,0.321138,0.484663,79,246,163,?a
?a  ageCategory  old  ?a  biomarker  ALK_Positive   ,?a  comorbidity  Depression,0.036047,0.484375,0.484375,62,128,128,?a
?a  drug  Vinorelbine  ?a  sex  male   ,?a  comorbidity  Others,0.044767,0.484277,0.484277,77,159,159,?a
?a  comorbidity  Others   ,?a  ageCategory  old,0.215,0.484234,0.484234,215,444,444,?a
?a  biomarker  ROS1_Positive   ,?a  hasRelapse  Yes,0.152,0.484076,0.484076,152,314,314,?a
?a  drug  Nivolumab  ?a  smokingHabit  NonSmoker   ,?a  biomarker  ALK_Positive,0.033296,0.337079,0.483871,30,89,62,?a
?a  comorbidity  Cardiopathy  ?a  drug  Nivolumab   ,?a  biomarker  ROS1_Positive,0.049945,0.323741,0.483871,45,139,93,?a
?a  drug  Carboplatin  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.045,0.483871,0.483871,45,93,93,?a
?a  drug  Afatinib  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Cardiopathy,0.026163,0.483871,0.483871,45,93,93,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Carboplatin   ,?a  biomarker  EGFR_Positive,0.049945,0.3125,0.483871,45,144,93,?a
?a  comorbidity  Cardiopathy  ?a  drug  Afatinib   ,?a  biomarker  EGFR_Positive,0.049945,0.357143,0.483871,45,126,93,?a
?a  ageCategory  old  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Others,0.034884,0.483871,0.483871,60,124,124,?a
?a  ageCategory  old  ?a  biomarker  EGFR_Positive   ,?a  comorbidity  Depression,0.043023,0.48366,0.48366,74,153,153,?a
?a  sex  female  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  EGFR_Positive,0.048835,0.330827,0.483516,44,133,91,?a
?a  ageCategory  young  ?a  drug  Vinorelbine   ,?a  comorbidity  Others,0.051163,0.483516,0.483516,88,182,182,?a
?a  drug  Cisplatin  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.025,0.483146,0.483146,43,89,89,?a
?a  drug  Carboplatin   ,?a  biomarker  EGFR_Positive,0.126526,0.321127,0.483051,114,355,236,?a
?a  comorbidity  Depression  ?a  comorbidity  Diabetes_Mellitus   ,?a  biomarker  ROS1_Positive,0.046615,0.302158,0.482759,42,139,87,?a
?a  drug  Carboplatin  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  Yes,0.042,0.482759,0.482759,42,87,87,?a
?a  drug  Nivolumab  ?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.042,0.482759,0.482759,42,87,87,?a
?a  hasRelapse  No  ?a  sex  female   ,?a  comorbidity  Cardiopathy,0.072093,0.48249,0.48249,124,257,257,?a
?a  ageCategory  young  ?a  hasRelapse  No   ,?a  biomarker  ALK_Positive,0.09101,0.314176,0.482353,82,261,170,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Afatinib   ,?a  biomarker  ROS1_Positive,0.045505,0.325397,0.482353,41,126,85,?a
?a  hasRelapse  No   ,?a  ageCategory  old,0.243,0.482143,0.482143,243,504,504,?a
?a  drug  Vinorelbine  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.023256,0.481928,0.481928,40,83,83,?a
?a  drug  Afatinib  ?a  hasRelapse  Yes   ,?a  sex  male,0.079,0.481707,0.481707,79,164,164,?a
?a  sex  male   ,?a  ageCategory  old,0.228,0.481013,0.481013,228,474,474,?a
?a  biomarker  EGFR_Positive  ?a  drug  Vinorelbine   ,?a  comorbidity  Cardiopathy,0.02907,0.480769,0.480769,50,104,104,?a
?a  drug  Nivolumab   ,?a  biomarker  ROS1_Positive,0.123196,0.321739,0.480519,111,345,231,?a
?a  drug  Afatinib  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Others,0.021512,0.480519,0.480519,37,77,77,?a
?a  ageCategory  young  ?a  comorbidity  Others   ,?a  sex  male,0.11,0.480349,0.480349,110,229,229,?a
?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  young,0.121,0.480159,0.480159,121,252,252,?a
?a  ageCategory  young  ?a  sex  female   ,?a  biomarker  EGFR_Positive,0.09323,0.313433,0.48,84,268,175,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Others,0.02093,0.48,0.48,36,75,75,?a
?a  sex  female  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Others,0.034302,0.479675,0.479675,59,123,123,?a
?a  hasRelapse  Yes  ?a  sex  female   ,?a  comorbidity  Others,0.075,0.479554,0.479554,129,269,269,?a
?a  biomarker  EGFR_Positive  ?a  hasRelapse  No   ,?a  comorbidity  Depression,0.040116,0.479167,0.479167,69,144,144,?a
?a  hasRelapse  Yes  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Depression,0.03314,0.478992,0.478992,57,119,119,?a
?a  sex  male   ,?a  hasRelapse  Yes,0.227,0.478903,0.478903,227,474,474,?a
?a  ageCategory  young   ,?a  sex  male,0.246,0.478599,0.478599,246,514,514,?a
?a  biomarker  ALK_Positive  ?a  hasRelapse  Yes   ,?a  comorbidity  Others,0.038372,0.478261,0.478261,66,138,138,?a
?a  comorbidity  Others  ?a  drug  Vinorelbine   ,?a  sex  male,0.077,0.478261,0.478261,77,161,161,?a
?a  ageCategory  old  ?a  hasRelapse  Yes   ,?a  biomarker  ROS1_Positive,0.083241,0.308642,0.477707,75,243,157,?a
?a  drug  Cisplatin  ?a  hasRelapse  No   ,?a  biomarker  EGFR_Positive,0.058824,0.313609,0.477477,53,169,111,?a
?a  ageCategory  old   ,?a  comorbidity  Depression,0.134884,0.477366,0.477366,232,486,486,?a
